reply_status,externalUserId,source,status,conversation_id,talker_id,msg_id,sender_uid,sender_name,receiver_uid,msg_type,content,timestamp,message_time,last_inbound_at,last_outbound_at,inbound_count,outbound_count
replied,bili_1562700,bilibili,new_lead,1634,1562700,7616334221726842813,1562700,B站用户_1562700,3546912309382109,text,请问你们视频里布料传感器有卖吗？,1773315999000,2026-03-12 19:46:39,1773315999,1773374480,1,1
replied,bili_312735866,bilibili,new_lead,1633,312735866,7616332241557093113,312735866,B站用户_312735866,3546912309382109,text,你好 请问有样品吗 想买[doge_金箍],1773315538000,2026-03-12 19:38:58,1773315538,1773374482,1,1
replied,bili_1345311257,bilibili,new_lead,1639,1345311257,7615566578085191813,1345311257,B站用户_1345311257,3546912309382109,text,请问纤维压力传感器现在有样品可以测试吗，或者卖吗。 想做成总线指套用于乐器研究教学项目,1773137268000,2026-03-10 18:07:48,1773137268,1773197746,1,1
replied,bili_443273988,bilibili,new_lead,1637,443273988,7615561501541546235,443273988,B站用户_443273988,3546912309382109,text,好呀，有HR老师的联系方式吗,1773136086000,2026-03-10 17:48:06,1773136086,1773198435,3,3
replied,bili_55859,bilibili,new_lead,1638,55859,7615518027274049800,55859,B站用户_55859,3546912309382109,text,你好！你们这个布料怎么买？多少钱？,1773125964000,2026-03-10 14:59:24,1773125964,1773197780,1,1
replied,bili_609944009,bilibili,new_lead,1640,609944009,7614805445035801850,609944009,B站用户_609944009,3546912309382109,text,请问纤维和织物是否有销售渠道？是否有二次开发的环境？,1772960053000,2026-03-08 16:54:13,1772960053,1773065498,1,2
replied,bili_2084251422,bilibili,new_lead,1641,2084251422,7608964199614830420,2084251422,B站用户_2084251422,3546912309382109,text,你好，我是一个wargame行业的从业者，我们现在有一个需求是，需要能够识别水弹击中身体的传感器，看到你们的纤维传感衣，想具体咨询一下,1771600032000,2026-02-20 23:07:12,1771600032,1772690703,1,1
replied,bili_631710843,bilibili,new_lead,1642,631710843,7603273016140870901,631710843,B站用户_631710843,3546912309382109,text,你好，能够加下联系方式？我们有产品需要,1770274950000,2026-02-05 15:02:30,1770274950,1770288905,1,1
replied,bili_28922267,bilibili,new_lead,1643,28922267,7601966237173676876,28922267,B站用户_28922267,3546912309382109,text,你好！请问可以介绍一下基本原理，功耗，灵敏度和报价吗？,1769970692000,2026-02-02 02:31:32,1769970692,1770173911,1,1
replied,bili_67815236,bilibili,new_lead,1645,67815236,7585032594303553142,67815236,B站用户_67815236,3546912309382109,text,能加个联系方式嘛,1766028021000,2025-12-18 11:20:21,1766028021,1766369880,1,1
replied,bili_316261942,bilibili,new_lead,1647,316261942,7572119547964988780,316261942,B站用户_316261942,3546912309382109,text,你好，能否加个联系方式，应用在机器人蒙皮,1763021468000,2025-11-13 16:11:08,1763021468,1763965801,1,1
replied,bili_3546563257305937,bilibili,new_lead,1650,3546563257305937,7561790319396196236,3546563257305937,B站用户_3546563257305937,3546912309382109,text,灵巧手开发，需要传感器,1760616507000,2025-10-16 20:08:27,1760616507,1761200732,1,1
replied,bili_210284869,bilibili,new_lead,1651,210284869,7561403788572889057,210284869,B站用户_210284869,3546912309382109,text,你好，请问你们公司的智能手套产品多少钱一套,1760526511000,2025-10-15 19:08:31,1760526511,1761200725,1,1
replied,bili_438610695,bilibili,new_lead,1654,438610695,7551594319585719635,438610695,B站用户_438610695,3546912309382109,text,方便提供联系方式嘛? 看看能否合作？,1758242566000,2025-09-19 08:42:46,1758242566,1758250773,1,1
replied,bili_2425338,bilibili,new_lead,1656,2425338,7550901644644099777,2425338,B站用户_2425338,3546912309382109,text,您好，我这边做升降桌的，看到您这个纤维技术可能能用于防夹功能，希望能进一步沟通。,1758081290000,2025-09-17 11:54:50,1758081290,1758188482,1,1
replied,bili_908863,bilibili,new_lead,1655,908863,7548487499952989641,908863,B站用户_908863,3546912309382109,text,你好，请问有联系方式吗？我有一个想法在找投资，里面有部分内容能和你们的产品产生大关联。,1757519203000,2025-09-10 23:46:43,1757519203,1758188499,1,1
replied,bili_19403775,bilibili,new_lead,1659,19403775,7542111027892603067,19403775,B站用户_19403775,3546912309382109,text,亲，您好，我是松延动力的结构工程师吴沛亭，看到您这边的柔性传感器的产品很感兴趣，想和您这边进一步沟通，我的电话号码是15114830782（微信同号）希望能和您这边交流，期待您的回复,1756034565000,2025-08-24 19:22:45,1756034565,1756780666,1,1
replied,bili_6876458,bilibili,new_lead,1661,6876458,7541230211436466185,6876458,B站用户_6876458,3546912309382109,text,怎么联系,1755829484000,2025-08-22 10:24:44,1755829484,1756727236,1,1
replied,bili_3461581803358417,bilibili,new_lead,1662,3461581803358417,7536155935112471788,3461581803358417,B站用户_3461581803358417,3546912309382109,text,您好，最近在忙实验，才看到消息，简历已经发送到邮箱了，主题备注为硕士应届-陆九洲,1754648037000,2025-08-08 18:13:57,1754648037,1755073718,3,3
replied,bili_525227318,bilibili,new_lead,1663,525227318,7533445828299970153,525227318,B站用户_525227318,3546912309382109,text,你好，我叫林心潭，电话微信：15658101802.想要用您的传感器纤维制作压力感知鞋垫。,1754017041000,2025-08-01 10:57:21,1754017041,1754303020,1,1
replied,bili_1722114887,bilibili,new_lead,1665,1722114887,7531592425352981999,1722114887,B站用户_1722114887,3546912309382109,text,你好，一直没人来联系我[tv_笑哭],1753585512000,2025-07-27 11:05:12,1753585512,1753950745,3,2
replied,bili_14647084,bilibili,new_lead,1669,14647084,7527954579427086434,14647084,B站用户_14647084,3546912309382109,text,还没加啊,1752738510000,2025-07-17 15:48:30,1752738510,1752757337,5,6
replied,bili_351463366,bilibili,new_lead,1670,351463366,7527245230860915134,351463366,B站用户_351463366,3546912309382109,text,您好，打扰了，我是东京的esmod服装大学的学生，请问您的系列产品可否接受学校/学生合作？,1752573352000,2025-07-15 17:55:52,1752573352,1752665289,1,1
replied,bili_519846069,bilibili,new_lead,1671,519846069,7527245158273696407,519846069,B站用户_519846069,3546912309382109,text,"中国科学技术大学
合肥
精密普适实验室孙熠欧
18942694371
智能织物设备的算法开发
服务需求：电路板以及采数据相关
",1752573335000,2025-07-15 17:55:35,1752573335,1752665269,1,1
replied,bili_438030714,bilibili,new_lead,1673,438030714,7525402870131185846,438030714,B站用户_438030714,3546912309382109,text,请问哪里可以买到呢  demo或者开发板 ,1752144394000,2025-07-10 18:46:34,1752144394,1752146290,1,1
replied,bili_698175574,bilibili,new_lead,1672,698175574,7525315837036757740,698175574,B站用户_698175574,3546912309382109,text,你好，我想问一下，这个纤维的温度适用范围如何，在表面涂敷PDMS固化会对其性能产生影响吗？,1752124130000,2025-07-10 13:08:50,1752124130,1752146299,1,1
replied,bili_432159498,bilibili,new_lead,1674,432159498,7525020154844278534,432159498,B站用户_432159498,3546912309382109,text,18210897152 徐成栋 触觉传感器,1752055286000,2025-07-09 18:01:26,1752055286,1752146233,2,2
replied,bili_23954590,bilibili,new_lead,1675,23954590,7524962722554844893,23954590,B站用户_23954590,3546912309382109,5,[撤回或引用消息],1752041914000,2025-07-09 14:18:34,1752041914,1752146219,5,2
replied,bili_1142294227,bilibili,new_lead,1676,1142294227,7524795111040340226,1142294227,B站用户_1142294227,3546912309382109,text,杨先生 13122503171 触觉手套一副,1752002889000,2025-07-09 03:28:09,1752002889,1752146207,1,1
replied,bili_352458940,bilibili,new_lead,1679,352458940,7523099496390836806,352458940,B站用户_352458940,3546912309382109,text,您好，请问是我没发出来吗,1751608098000,2025-07-04 13:48:18,1751608098,1751630444,5,2
replied,bili_3546616749361453,bilibili,new_lead,1678,3546616749361453,7523084159304872136,3546616749361453,B站用户_3546616749361453,3546912309382109,text,卖材料吗？有联系方式吗？,1751604527000,2025-07-04 12:48:47,1751604527,1751630585,1,1
replied,bili_11975701,bilibili,new_lead,1677,11975701,7522880844201902633,11975701,B站用户_11975701,3546912309382109,text,您好，我是中国美院交通工具设计的一名老师，看到您的纤维的视频很感兴趣，19 年曾了解过但当时弹性较差，很好奇您发布视频中的压感纤维和导电纤维弹性如何呀？,1751557189000,2025-07-03 23:39:49,1751557189,1751631001,1,1
replied,bili_591890505,bilibili,new_lead,1681,591890505,7522322403954791635,591890505,B站用户_591890505,3546912309382109,text,产品需求，用比赛场景中， 机器人射击对抗，发射17mm以及42mm直径的实体弹丸互相攻击。   需要检测击打力度和击打位置，有可靠性要求。   ,1751427167000,2025-07-02 11:32:47,1751427167,1751428243,2,3
replied,bili_6213470,bilibili,new_lead,1682,6213470,7522277792530952093,6213470,B站用户_6213470,3546912309382109,text,银河通用机器人。刘工，18680097508，织物电子皮肤，灵巧手，全身。,1751416780000,2025-07-02 08:39:40,1751416780,1751428203,2,2
replied,bili_1510176509,bilibili,new_lead,1683,1510176509,7521644246006399147,1510176509,B站用户_1510176509,3546912309382109,text,计划用这个织物传感器穿戴在灵巧手上，进行数据采集和分析。,1751269271000,2025-06-30 15:41:11,1751269271,1751271418,3,3
replied,bili_3276609,bilibili,new_lead,1684,3276609,7521409148444989478,3276609,B站用户_3276609,3546912309382109,text,您好，目前有采购方式吗？我司是做机械臂行业的,1751214533000,2025-06-30 00:28:53,1751214533,1751261185,1,1
replied,bili_1440408664,bilibili,new_lead,1685,1440408664,7521010935737754854,1440408664,B站用户_1440408664,3546912309382109,text,"尊敬的矩侨工业，你好！我是王庄磊，电话：19838119225。我希望开发一款能分析羽毛球运动员对球拍施力情况的便携式设备，实现压力的可视化，帮助运动员学习发力技巧。计划直接将纤维压力传感器集成在手柄表面，尺寸大约20cm*10cm。同时想了解贵司纤维压力传感器的更多参数，比如通讯协议，功耗，以及报价。
麻烦方便时与我联系，非常感谢！
祝工作顺利！",1751121817000,2025-06-28 22:43:37,1751121817,1751162523,1,1
replied,bili_188085323,bilibili,new_lead,1686,188085323,7520992557782873592,188085323,B站用户_188085323,3546912309382109,text,你好啊 想了解一下你的传感器产品,1751117538000,2025-06-28 21:32:18,1751117538,1751162477,1,1
replied,bili_35896332,bilibili,new_lead,1688,35896332,7520882456238653981,35896332,B站用户_35896332,3546912309382109,text,想做一些研发测试的话，要怎么买呢？我byd员工，想用到自家旗舰车型的座椅上。,1751091903000,2025-06-28 14:25:03,1751091903,1751162438,1,1
replied,bili_16074406,bilibili,new_lead,1687,16074406,7520879484429911791,16074406,B站用户_16074406,3546912309382109,text,期待你们开分公司,1751091211000,2025-06-28 14:13:31,1751091211,1751162445,9,4
replied,bili_10895785,bilibili,new_lead,1689,10895785,7520687392134693557,10895785,B站用户_10895785,3546912309382109,text,北京智源研究院，谢工16601206042，询价主页内的手套,1751046486000,2025-06-28 01:48:06,1751046486,1751162418,1,1
replied,bili_485724172,bilibili,new_lead,1690,485724172,7520663743093402897,485724172,B站用户_485724172,3546912309382109,text,跟传统力控夹爪会更灵敏一些吗,1751040980000,2025-06-28 00:16:20,1751040980,1751162405,3,2
replied,bili_3546375300057302,bilibili,new_lead,1694,3546375300057302,7520573957131981615,3546375300057302,B站用户_3546375300057302,3546912309382109,text,您好 我想了解一下贵司的传感器技术,1751020075000,2025-06-27 18:27:55,1751020075,1751020286,1,1
replied,bili_184074675,bilibili,new_lead,1695,184074675,7520301926733828397,184074675,B站用户_184074675,3546912309382109,text,这个材料防水么 我想做个尿床检测  这种材料什么价格呀,1750956738000,2025-06-27 00:52:18,1750956738,1751005654,1,2
replied,bili_21738085,bilibili,new_lead,1696,21738085,7520239168655464012,21738085,B站用户_21738085,3546912309382109,text,声音的振动能采集到吗,1750942126000,2025-06-26 20:48:46,1750942126,1751005582,1,1
replied,bili_12856160,bilibili,new_lead,1700,12856160,7520199595086039009,12856160,B站用户_12856160,3546912309382109,text,你们有振动加速度传感器吗？,1750932912000,2025-06-26 18:15:12,1750932912,1750935026,3,2
replied,bili_236181725,bilibili,new_lead,1701,236181725,7520187646506615771,236181725,B站用户_236181725,3546912309382109,text,价格怎么样？有没有参数？,1750930130000,2025-06-26 17:28:50,1750930130,1750935009,1,1
replied,bili_446000912,bilibili,new_lead,1703,446000912,7520169143640245514,446000912,B站用户_446000912,3546912309382109,text,传感纤维在野外极端环境下稳定性如何，耐用性和灵敏度测试了吗,1750925822000,2025-06-26 16:17:02,1750925822,1750929276,1,1
replied,bili_354647006,bilibili,new_lead,1707,354647006,7520088067640520452,354647006,B站用户_354647006,3546912309382109,text,马国轩 15319727660 界面应力测量,1750906945000,2025-06-26 11:02:25,1750906945,1750911236,2,2
replied,bili_306561053,bilibili,new_lead,1708,306561053,7520065811095209138,306561053,B站用户_306561053,3546912309382109,text,你好，咨询一下布料传感器如何体验和购买,1750901763000,2025-06-26 09:36:03,1750901763,1750911227,1,1
replied,bili_9526730,bilibili,new_lead,1706,9526730,7519925141891091881,9526730,B站用户_9526730,3546912309382109,text,"管博昂 13290195919 我是英国机器人博士,研究方向是灵巧机器人,我希望能获取部分样品进行测试和研究工作。
",1750869011000,2025-06-26 00:30:11,1750869011,1750911248,2,2
replied,bili_416602797,bilibili,new_lead,1709,416602797,7519906055034688120,416602797,B站用户_416602797,3546912309382109,text,你好，我是一名椅子的设计师，想问一下压力测试服怎么样可以购买，谢谢,1750864567000,2025-06-25 23:16:07,1750864567,1750911179,1,1
replied,bili_298325788,bilibili,new_lead,1705,298325788,7519895240734572860,298325788,B站用户_298325788,3546912309382109,text,您好，请问有销售和我对接吗,1750862049000,2025-06-25 22:34:09,1750862049,1750918871,3,3
replied,bili_389877441,bilibili,new_lead,1710,389877441,7519850513363287430,389877441,B站用户_389877441,3546912309382109,text,up你好，纤维传感器支持个人定制吗,1750851635000,2025-06-25 19:40:35,1750851635,1750911066,2,1
replied,bili_388898399,bilibili,new_lead,1711,388898399,7519836695953326883,388898399,B站用户_388898399,3546912309382109,text,同号,1750848418000,2025-06-25 18:46:58,1750848418,1750848557,4,3
